Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
ChrSy.fgenesh.gene.53	2	1	5	4	0.8	0	0	0	0	nan	5	0	14	0	0.0	7	1	19	4	0.210526315789
ChrSy.fgenesh.gene.54	10	2	21	11	0.52380952381	11	0	25	1	0.04	28	0	67	0	0.0	49	2	113	12	0.106194690265
ChrSy.fgenesh.gene.56	44	39	400	383	0.9575	21	16	190	141	0.742105263158	41	7	406	28	0.0689655172414	106	62	996	552	0.55421686747
ChrSy.fgenesh.gene.58	7	1	10	7	0.7	1	0	3	1	0.333333333333	6	0	15	1	0.0666666666667	14	1	28	9	0.321428571429
ChrSy.fgenesh.gene.5	0	0	0	0	nan	0	0	0	0	nan	1	0	3	0	0.0	1	0	3	0	0.0
ChrSy.fgenesh.gene.64	5	0	5	5	1.0	4	0	4	2	0.5	3	0	3	0	0.0	12	0	12	7	0.583333333333
ChrSy.fgenesh.gene.66	0	0	0	0	nan	0	0	0	0	nan	1	0	2	0	0.0	1	0	2	0	0.0
ChrSy.fgenesh.gene.67	37	21	135	135	1.0	8	3	24	20	0.833333333333	16	0	45	5	0.111111111111	61	24	204	160	0.78431372549
ChrSy.fgenesh.gene.6	13	0	32	0	0.0	17	0	24	1	0.0416666666667	22	0	46	0	0.0	52	0	102	1	0.00980392156863
ChrSy.fgenesh.gene.74	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
ChrSy.fgenesh.gene.75	38	14	104	104	1.0	14	2	30	16	0.533333333333	44	0	92	5	0.054347826087	96	16	226	125	0.553097345133
ChrSy.fgenesh.gene.76	0	0	0	0	nan	0	0	0	0	nan	1	0	4	0	0.0	1	0	4	0	0.0
ChrSy.fgenesh.gene.77	0	0	0	0	nan	0	0	0	0	nan	1	0	8	0	0.0	1	0	8	0	0.0
ChrSy.fgenesh.gene.78	12	3	26	24	0.923076923077	9	2	19	17	0.894736842105	52	0	113	4	0.0353982300885	73	5	158	45	0.284810126582
ChrSy.fgenesh.gene.79	2	2	12	11	0.916666666667	10	10	47	42	0.893617021277	47	0	184	3	0.0163043478261	59	12	243	56	0.230452674897
ChrSy.fgenesh.gene.7	0	0	0	0	nan	0	0	0	0	nan	1	0	6	1	0.166666666667	1	0	6	1	0.166666666667
ChrSy.fgenesh.gene.88	12	6	29	29	1.0	6	3	16	10	0.625	24	0	53	1	0.0188679245283	42	9	98	40	0.408163265306
ChrUn.fgenesh.gene.11	4	0	4	3	0.75	7	0	7	7	1.0	13	0	13	0	0.0	24	0	24	10	0.416666666667
ChrUn.fgenesh.gene.13	5	0	9	9	1.0	4	0	7	5	0.714285714286	10	0	18	4	0.222222222222	19	0	34	18	0.529411764706
ChrUn.fgenesh.gene.1	24	0	97	0	0.0	21	0	84	1	0.0119047619048	25	0	83	0	0.0	70	0	264	1	0.00378787878788
ChrUn.fgenesh.gene.24	9	3	23	16	0.695652173913	5	3	19	11	0.578947368421	43	0	160	5	0.03125	57	6	202	32	0.158415841584
ChrUn.fgenesh.gene.2	22	8	62	60	0.967741935484	10	4	27	22	0.814814814815	41	0	110	9	0.0818181818182	73	12	199	91	0.457286432161
ChrUn.fgenesh.gene.31	0	0	0	0	nan	1	0	1	0	0.0	3	0	3	0	0.0	4	0	4	0	0.0
ChrUn.fgenesh.gene.36	0	0	0	0	nan	2	0	3	3	1.0	4	0	6	1	0.166666666667	6	0	9	4	0.444444444444
ChrUn.fgenesh.gene.40	0	0	0	0	nan	0	0	0	0	nan	1	0	5	0	0.0	1	0	5	0	0.0
ChrUn.fgenesh.gene.41	18	0	93	0	0.0	17	0	87	0	0.0	45	0	253	1	0.00395256916996	80	0	433	1	0.00230946882217
ChrUn.fgenesh.gene.43	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
ChrUn.fgenesh.gene.49	1	0	1	0	0.0	1	0	1	0	0.0	12	0	12	0	0.0	14	0	14	0	0.0
ChrUn.fgenesh.gene.50	0	0	0	0	nan	2	0	2	2	1.0	2	0	2	0	0.0	4	0	4	2	0.5
ChrUn.fgenesh.gene.56	2	0	2	0	0.0	1	0	1	0	0.0	28	0	28	0	0.0	31	0	31	0	0.0
ChrUn.fgenesh.gene.5	0	0	0	0	nan	0	0	0	0	nan	1	0	2	0	0.0	1	0	2	0	0.0
ChrUn.fgenesh.gene.61	2	0	2	2	1.0	2	0	2	0	0.0	6	0	6	0	0.0	10	0	10	2	0.2
ChrUn.fgenesh.gene.6	0	0	0	0	nan	0	0	0	0	nan	1	0	4	1	0.25	1	0	4	1	0.25
ChrUn.fgenesh.gene.78	4	0	4	4	1.0	11	0	12	9	0.75	26	0	28	0	0.0	41	0	44	13	0.295454545455
ChrUn.fgenesh.gene.7	0	0	0	0	nan	0	0	0	0	nan	1	0	1	1	1.0	1	0	1	1	1.0
ChrUn.fgenesh.gene.82	0	0	0	0	nan	1	0	1	1	1.0	3	0	3	0	0.0	4	0	4	1	0.25
ChrUn.fgenesh.gene.8	0	0	0	0	nan	1	0	1	1	1.0	6	0	6	1	0.166666666667	7	0	7	2	0.285714285714
ChrUn.fgenesh.gene.95	7	0	7	7	1.0	9	0	9	8	0.888888888889	17	0	17	2	0.117647058824	33	0	33	17	0.515151515152
ChrUn.fgenesh.gene.96	2	2	7	7	1.0	13	0	33	0	0.0	44	0	117	0	0.0	59	2	157	7	0.0445859872611
LOC_Os01g01010	14	0	45	0	0.0	14	0	41	0	0.0	44	0	122	1	0.00819672131148	72	0	208	1	0.00480769230769
LOC_Os01g01019	35	0	60	0	0.0	12	0	24	0	0.0	20	0	30	0	0.0	67	0	114	0	0.0
LOC_Os01g01030	18	0	65	0	0.0	10	0	44	0	0.0	43	0	208	1	0.00480769230769	71	0	317	1	0.00315457413249
LOC_Os01g01040	8	0	25	0	0.0	4	0	11	0	0.0	56	0	142	1	0.00704225352113	68	0	178	1	0.00561797752809
LOC_Os01g01050	7	0	32	1	0.03125	11	0	51	1	0.0196078431373	59	0	97	0	0.0	77	0	180	2	0.0111111111111
LOC_Os01g01060	22	0	50	0	0.0	11	0	21	0	0.0	25	0	45	1	0.0222222222222	58	0	116	1	0.00862068965517
LOC_Os01g01070	34	0	74	1	0.0135135135135	19	0	43	0	0.0	23	0	59	0	0.0	76	0	176	1	0.00568181818182
LOC_Os01g01080	11	0	31	0	0.0	6	0	12	0	0.0	61	0	148	1	0.00675675675676	78	0	191	1	0.00523560209424
LOC_Os01g01090	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
LOC_Os01g01110	22	0	52	0	0.0	16	0	38	1	0.0263157894737	16	0	30	0	0.0	54	0	120	1	0.00833333333333
LOC_Os01g01115	0	0	0	0	nan	1	0	3	0	0.0	0	0	0	0	nan	1	0	3	0	0.0
LOC_Os01g01120	6	0	21	0	0.0	5	0	13	0	0.0	12	0	37	0	0.0	23	0	71	0	0.0
LOC_Os01g01130	10	0	31	0	0.0	11	0	31	1	0.0322580645161	46	0	136	1	0.00735294117647	67	0	198	2	0.010101010101
LOC_Os01g01150	14	0	28	0	0.0	10	0	15	0	0.0	49	0	70	0	0.0	73	0	113	0	0.0
LOC_Os01g01160	4	0	22	0	0.0	1	0	5	0	0.0	6	0	28	0	0.0	11	0	55	0	0.0
LOC_Os01g01170	0	0	0	0	nan	3	0	3	0	0.0	13	0	28	0	0.0	16	0	31	0	0.0
LOC_Os01g01180	17	0	72	0	0.0	7	0	28	0	0.0	20	0	41	0	0.0	44	0	141	0	0.0
LOC_Os01g01190	19	0	42	1	0.0238095238095	14	0	41	0	0.0	32	0	74	1	0.0135135135135	65	0	157	2	0.0127388535032
LOC_Os01g01280	4	0	14	0	0.0	2	0	7	0	0.0	2	0	3	0	0.0	8	0	24	0	0.0
LOC_Os01g01290	6	6	53	52	0.981132075472	2	2	10	6	0.6	43	5	329	18	0.0547112462006	51	13	392	76	0.19387755102
LOC_Os01g01295	8	0	37	0	0.0	2	0	7	0	0.0	9	0	45	0	0.0	19	0	89	0	0.0
LOC_Os01g01302	18	0	30	0	0.0	13	0	20	0	0.0	15	0	34	0	0.0	46	0	84	0	0.0
LOC_Os01g01307	4	0	7	0	0.0	14	0	23	0	0.0	32	0	43	0	0.0	50	0	73	0	0.0
LOC_Os01g01312	10	0	31	0	0.0	10	0	31	0	0.0	52	0	125	0	0.0	72	0	187	0	0.0
LOC_Os01g01340	14	0	54	0	0.0	17	0	61	1	0.016393442623	39	0	124	1	0.00806451612903	70	0	239	2	0.00836820083682
LOC_Os01g01350	6	0	27	1	0.037037037037	20	0	84	0	0.0	42	0	188	0	0.0	68	0	299	1	0.00334448160535
LOC_Os01g01360	20	4	163	32	0.196319018405	12	2	102	11	0.107843137255	36	19	318	156	0.490566037736	68	25	583	199	0.341337907376
LOC_Os01g01369	6	0	30	0	0.0	11	0	58	0	0.0	49	0	277	2	0.0072202166065	66	0	365	2	0.00547945205479
LOC_Os01g01380	4	4	15	14	0.933333333333	14	0	58	0	0.0	43	0	165	0	0.0	61	4	238	14	0.0588235294118
LOC_Os01g01390	22	0	63	0	0.0	14	0	44	0	0.0	44	0	123	1	0.00813008130081	80	0	230	1	0.00434782608696
LOC_Os01g01400	26	6	66	32	0.484848484848	26	0	73	2	0.027397260274	62	0	191	0	0.0	114	6	330	34	0.10303030303
LOC_Os01g01410	12	6	34	31	0.911764705882	18	0	56	2	0.0357142857143	50	0	173	0	0.0	80	6	263	33	0.125475285171
LOC_Os01g01420	4	0	18	0	0.0	5	0	41	1	0.0243902439024	22	0	90	0	0.0	31	0	149	1	0.00671140939597
LOC_Os01g01430	4	0	20	1	0.05	0	0	0	0	nan	16	0	78	0	0.0	20	0	98	1	0.0102040816327
LOC_Os01g01440	2	0	12	1	0.0833333333333	4	0	27	1	0.037037037037	39	0	258	2	0.0077519379845	45	0	297	4	0.013468013468
LOC_Os01g01450	22	0	69	0	0.0	13	0	40	0	0.0	54	0	146	0	0.0	89	0	255	0	0.0
LOC_Os01g01470	4	0	29	0	0.0	4	0	18	0	0.0	40	0	163	0	0.0	48	0	210	0	0.0
LOC_Os01g01484	2	0	3	0	0.0	15	0	31	0	0.0	29	0	68	0	0.0	46	0	102	0	0.0
LOC_Os01g01500	0	0	0	0	nan	0	0	0	0	nan	1	0	7	0	0.0	1	0	7	0	0.0
LOC_Os01g01510	10	0	31	0	0.0	7	0	20	0	0.0	17	0	36	0	0.0	34	0	87	0	0.0
LOC_Os01g01520	30	0	101	2	0.019801980198	18	0	48	0	0.0	46	0	135	1	0.00740740740741	94	0	284	3	0.0105633802817
LOC_Os01g01530	3	2	12	11	0.916666666667	6	6	32	31	0.96875	22	1	74	7	0.0945945945946	31	9	118	49	0.415254237288
LOC_Os01g01570	18	2	61	11	0.180327868852	18	0	67	0	0.0	39	0	154	1	0.00649350649351	75	2	282	12	0.0425531914894
LOC_Os01g01580	4	0	8	0	0.0	0	0	0	0	nan	6	0	9	0	0.0	10	0	17	0	0.0
LOC_Os01g01590	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
LOC_Os01g01600	6	0	33	0	0.0	2	0	10	0	0.0	47	0	217	0	0.0	55	0	260	0	0.0
LOC_Os01g01610	4	3	21	16	0.761904761905	10	0	53	1	0.0188679245283	53	1	290	2	0.00689655172414	67	4	364	19	0.0521978021978
LOC_Os01g01620	10	0	25	0	0.0	24	0	71	0	0.0	44	0	80	1	0.0125	78	0	176	1	0.00568181818182
LOC_Os01g01640	16	0	62	1	0.0161290322581	11	0	36	1	0.0277777777778	23	0	89	0	0.0	50	0	187	2	0.0106951871658
LOC_Os01g01650	27	0	69	1	0.0144927536232	14	0	36	0	0.0	42	0	112	0	0.0	83	0	217	1	0.00460829493088
LOC_Os01g01660	31	0	105	1	0.00952380952381	20	0	75	0	0.0	42	0	133	0	0.0	93	0	313	1	0.00319488817891
LOC_Os01g01670	10	0	52	0	0.0	12	0	76	0	0.0	19	0	89	0	0.0	41	0	217	0	0.0
LOC_Os01g01680	17	0	40	0	0.0	23	0	63	0	0.0	44	0	116	1	0.00862068965517	84	0	219	1	0.00456621004566
LOC_Os01g01689	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
LOC_Os01g01700	8	0	23	0	0.0	8	0	24	0	0.0	20	0	56	0	0.0	36	0	103	0	0.0
LOC_Os01g01710	8	0	22	0	0.0	21	0	64	0	0.0	53	0	143	1	0.00699300699301	82	0	229	1	0.00436681222707
LOC_Os01g01720	28	0	73	0	0.0	23	0	65	0	0.0	31	0	124	0	0.0	82	0	262	0	0.0
LOC_Os01g01730	0	0	0	0	nan	0	0	0	0	nan	1	0	2	0	0.0	1	0	2	0	0.0
LOC_Os01g01740	14	0	61	0	0.0	20	0	82	0	0.0	42	0	104	0	0.0	76	0	247	0	0.0
