Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
572335818	6	3	34	28	0.823529411765	2	0	27	0	0.0	34	0	219	11	0.0502283105023	42	3	280	39	0.139285714286
572335819	0	0	0	0	nan	3	0	20	0	0.0	10	0	65	0	0.0	13	0	85	0	0.0
572335829	0	0	0	0	nan	0	0	0	0	nan	27	0	701	5	0.00713266761769	27	0	701	5	0.00713266761769
572335838	28	0	722	5	0.00692520775623	17	0	266	0	0.0	28	0	327	5	0.0152905198777	73	0	1315	10	0.00760456273764
572335856	6	0	9	8	0.888888888889	4	0	7	0	0.0	49	0	86	0	0.0	59	0	102	8	0.078431372549
572335865	6	1	30	5	0.166666666667	10	0	58	1	0.0172413793103	37	0	176	0	0.0	53	1	264	6	0.0227272727273
572335879	4	2	9	9	1.0	7	0	12	0	0.0	14	0	20	0	0.0	25	2	41	9	0.219512195122
572335888	2	0	12	0	0.0	11	0	68	0	0.0	30	0	181	0	0.0	43	0	261	0	0.0
572335904	2	0	15	0	0.0	0	0	0	0	nan	31	0	256	4	0.015625	33	0	271	4	0.0147601476015
572335909	12	4	35	28	0.8	15	1	33	8	0.242424242424	38	0	91	11	0.120879120879	65	5	159	47	0.295597484277
572335914	0	0	0	0	nan	6	0	100	0	0.0	28	2	248	7	0.0282258064516	34	2	348	7	0.0201149425287
572335935	11	7	57	52	0.912280701754	7	2	29	5	0.172413793103	30	0	80	3	0.0375	48	9	166	60	0.361445783133
572335936	4	0	34	1	0.0294117647059	0	0	0	0	nan	32	1	203	3	0.0147783251232	36	1	237	4	0.0168776371308
572335940	2	0	9	0	0.0	0	0	0	0	nan	39	0	202	8	0.039603960396	41	0	211	8	0.0379146919431
572335944	2	0	21	0	0.0	8	0	83	0	0.0	27	0	317	4	0.01261829653	37	0	421	4	0.00950118764846
572335954	8	0	69	0	0.0	4	0	42	1	0.0238095238095	44	0	475	2	0.00421052631579	56	0	586	3	0.00511945392491
572335960	9	0	13	10	0.769230769231	8	0	11	1	0.0909090909091	36	0	45	0	0.0	53	0	69	11	0.159420289855
572335983	10	0	10	8	0.8	5	0	5	3	0.6	49	0	49	0	0.0	64	0	64	11	0.171875
572335985	6	5	17	15	0.882352941176	9	2	20	8	0.4	36	2	70	6	0.0857142857143	51	9	107	29	0.271028037383
572335993	6	0	36	0	0.0	4	0	20	0	0.0	53	0	221	2	0.00904977375566	63	0	277	2	0.0072202166065
572336008	4	1	19	2	0.105263157895	1	0	5	0	0.0	34	0	160	0	0.0	39	1	184	2	0.0108695652174
572336014	2	1	17	14	0.823529411765	5	1	38	2	0.0526315789474	19	2	99	6	0.0606060606061	26	4	154	22	0.142857142857
572336020	0	0	0	0	nan	4	0	20	0	0.0	44	0	225	7	0.0311111111111	48	0	245	7	0.0285714285714
572336023	10	0	12	12	1.0	2	0	2	0	0.0	49	0	58	1	0.0172413793103	61	0	72	13	0.180555555556
572336024	16	0	39	0	0.0	15	0	34	0	0.0	33	0	76	1	0.0131578947368	64	0	149	1	0.00671140939597
572336031	14	0	55	0	0.0	11	0	44	0	0.0	31	0	134	4	0.0298507462687	56	0	233	4	0.0171673819742
572336050	10	6	32	24	0.75	3	0	9	0	0.0	43	0	166	2	0.0120481927711	56	6	207	26	0.125603864734
572336059	6	3	19	16	0.842105263158	1	0	1	1	1.0	39	0	105	3	0.0285714285714	46	3	125	20	0.16
572336111	4	2	11	7	0.636363636364	12	0	26	1	0.0384615384615	32	0	77	1	0.012987012987	48	2	114	9	0.0789473684211
572336112	4	0	36	0	0.0	2	0	16	0	0.0	19	0	140	1	0.00714285714286	25	0	192	1	0.00520833333333
572336118	0	0	0	0	nan	6	0	19	0	0.0	61	0	196	1	0.00510204081633	67	0	215	1	0.0046511627907
572336119	8	0	48	0	0.0	4	0	12	0	0.0	29	0	173	2	0.0115606936416	41	0	233	2	0.00858369098712
572336129	0	0	0	0	nan	2	0	9	0	0.0	31	0	188	0	0.0	33	0	197	0	0.0
572336137	4	0	7	6	0.857142857143	5	0	10	0	0.0	17	0	31	0	0.0	26	0	48	6	0.125
572336146	0	0	0	0	nan	3	0	42	0	0.0	37	0	212	1	0.00471698113208	40	0	254	1	0.00393700787402
