Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
GSVIVG01000051001	4	0	15	0	0.0	9	0	36	0	0.0	26	0	93	0	0.0	39	0	144	0	0.0
GSVIVG01000052001	8	8	72	70	0.972222222222	6	0	55	1	0.0181818181818	44	0	331	0	0.0	58	8	458	71	0.155021834061
GSVIVG01000053001	10	9	74	64	0.864864864865	15	0	127	0	0.0	42	0	343	2	0.00583090379009	67	9	544	66	0.121323529412
GSVIVG01000054001	0	0	0	0	nan	0	0	0	0	nan	1	0	12	0	0.0	1	0	12	0	0.0
GSVIVG01000055001	4	3	30	17	0.566666666667	8	0	75	0	0.0	51	0	461	0	0.0	63	3	566	17	0.030035335689
GSVIVG01000056001	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
GSVIVG01000057001	6	5	54	31	0.574074074074	7	1	51	3	0.0588235294118	45	0	250	0	0.0	58	6	355	34	0.0957746478873
GSVIVG01000058001	1	0	1	0	0.0	5	0	5	0	0.0	20	0	20	0	0.0	26	0	26	0	0.0
GSVIVG01000062001	1	0	3	0	0.0	1	0	1	0	0.0	2	0	6	0	0.0	4	0	10	0	0.0
GSVIVG01000064001	0	0	0	0	nan	1	0	2	0	0.0	4	0	7	0	0.0	5	0	9	0	0.0
GSVIVG01000066001	0	0	0	0	nan	2	0	3	0	0.0	18	0	22	0	0.0	20	0	25	0	0.0
GSVIVG01000067001	2	0	7	0	0.0	9	0	14	0	0.0	29	0	70	1	0.0142857142857	40	0	91	1	0.010989010989
GSVIVG01000069001	3	0	6	4	0.666666666667	1	0	2	0	0.0	8	0	14	0	0.0	12	0	22	4	0.181818181818
GSVIVG01000070001	2	2	30	4	0.133333333333	16	0	87	0	0.0	52	0	340	1	0.00294117647059	70	2	457	5	0.0109409190372
GSVIVG01000071001	6	0	181	1	0.00552486187845	14	0	391	1	0.00255754475703	55	0	1538	5	0.00325097529259	75	0	2110	7	0.00331753554502
GSVIVG01000072001	4	4	57	52	0.912280701754	9	0	131	0	0.0	48	0	709	2	0.00282087447109	61	4	897	54	0.0602006688963
GSVIVG01000073001	14	14	123	105	0.853658536585	15	0	130	0	0.0	46	0	455	3	0.00659340659341	75	14	708	108	0.152542372881
GSVIVG01000074001	1	0	9	0	0.0	8	0	63	0	0.0	45	0	348	0	0.0	54	0	420	0	0.0
GSVIVG01000075001	0	0	0	0	nan	0	0	0	0	nan	6	0	30	0	0.0	6	0	30	0	0.0
GSVIVG01000077001	3	0	25	0	0.0	17	0	113	2	0.0176991150442	32	0	178	1	0.00561797752809	52	0	316	3	0.00949367088608
GSVIVG01000078001	0	0	0	0	nan	2	0	4	1	0.25	38	0	107	0	0.0	40	0	111	1	0.00900900900901
GSVIVG01000079001	6	1	10	10	1.0	12	0	21	0	0.0	36	0	98	1	0.0102040816327	54	1	129	11	0.0852713178295
GSVIVG01000080001	2	0	7	0	0.0	4	0	16	0	0.0	63	0	122	1	0.00819672131148	69	0	145	1	0.00689655172414
GSVIVG01000083001	0	0	0	0	nan	4	0	9	0	0.0	38	0	225	0	0.0	42	0	234	0	0.0
GSVIVG01000084001	0	0	0	0	nan	1	0	8	0	0.0	0	0	0	0	nan	1	0	8	0	0.0
GSVIVG01000086001	4	3	21	10	0.47619047619	6	0	37	0	0.0	54	0	303	0	0.0	64	3	361	10	0.0277008310249
GSVIVG01000087001	1	0	1	0	0.0	14	0	100	3	0.03	37	0	281	1	0.00355871886121	52	0	382	4	0.0104712041885
GSVIVG01000089001	0	0	0	0	nan	6	0	29	1	0.0344827586207	37	0	194	0	0.0	43	0	223	1	0.00448430493274
GSVIVG01000091001	4	4	28	27	0.964285714286	10	0	68	1	0.0147058823529	51	0	415	1	0.00240963855422	65	4	511	29	0.0567514677104
GSVIVG01000093001	0	0	0	0	nan	4	0	48	0	0.0	45	0	413	0	0.0	49	0	461	0	0.0
GSVIVG01000094001	2	2	10	9	0.9	12	0	67	0	0.0	44	0	208	1	0.00480769230769	58	2	285	10	0.0350877192982
GSVIVG01000097001	0	0	0	0	nan	0	0	0	0	nan	2	0	2	0	0.0	2	0	2	0	0.0
GSVIVG01000099001	3	1	17	8	0.470588235294	13	5	91	20	0.21978021978	24	0	131	3	0.0229007633588	40	6	239	31	0.129707112971
GSVIVG01000105001	4	4	36	33	0.916666666667	7	0	59	0	0.0	39	0	319	0	0.0	50	4	414	33	0.0797101449275
GSVIVG01000107001	17	0	71	0	0.0	14	0	76	1	0.0131578947368	46	0	222	0	0.0	77	0	369	1	0.00271002710027
GSVIVG01000108001	2	0	10	0	0.0	24	0	111	0	0.0	47	0	188	0	0.0	73	0	309	0	0.0
GSVIVG01000109001	3	0	4	0	0.0	2	0	2	0	0.0	3	0	3	0	0.0	8	0	9	0	0.0
GSVIVG01000111001	0	0	0	0	nan	6	0	40	0	0.0	35	0	156	0	0.0	41	0	196	0	0.0
GSVIVG01000112001	3	0	14	0	0.0	10	0	50	0	0.0	44	0	163	0	0.0	57	0	227	0	0.0
GSVIVG01000113001	13	9	54	49	0.907407407407	4	1	15	5	0.333333333333	40	1	98	4	0.0408163265306	57	11	167	58	0.347305389222
GSVIVG01000114001	2	0	2	0	0.0	2	0	2	0	0.0	11	0	11	0	0.0	15	0	15	0	0.0
GSVIVG01000115001	4	0	7	0	0.0	11	0	19	0	0.0	38	0	65	0	0.0	53	0	91	0	0.0
GSVIVG01000122001	6	0	46	0	0.0	12	0	79	0	0.0	57	0	299	0	0.0	75	0	424	0	0.0
GSVIVG01000124001	3	0	6	0	0.0	6	0	8	0	0.0	29	0	53	0	0.0	38	0	67	0	0.0
GSVIVG01000125001	2	1	22	4	0.181818181818	16	0	181	0	0.0	38	0	409	0	0.0	56	1	612	4	0.00653594771242
GSVIVG01000126001	0	0	0	0	nan	8	0	41	1	0.0243902439024	40	0	210	0	0.0	48	0	251	1	0.00398406374502
GSVIVG01000127001	4	1	20	3	0.15	22	0	85	1	0.0117647058824	47	0	174	0	0.0	73	1	279	4	0.0143369175627
GSVIVG01000128001	4	0	14	0	0.0	9	0	38	0	0.0	47	0	226	1	0.00442477876106	60	0	278	1	0.00359712230216
GSVIVG01000129001	19	0	42	0	0.0	13	0	29	0	0.0	43	0	126	1	0.00793650793651	75	0	197	1	0.00507614213198
GSVIVG01000130001	8	0	43	2	0.046511627907	10	0	59	1	0.0169491525424	45	0	281	2	0.00711743772242	63	0	383	5	0.0130548302872
GSVIVG01000131001	13	0	30	0	0.0	12	0	28	0	0.0	44	0	108	0	0.0	69	0	166	0	0.0
GSVIVG01000132001	6	0	31	0	0.0	16	0	112	1	0.00892857142857	43	0	316	0	0.0	65	0	459	1	0.00217864923747
GSVIVG01000134001	13	0	45	0	0.0	11	0	33	1	0.030303030303	34	0	113	1	0.00884955752212	58	0	191	2	0.0104712041885
GSVIVG01000135001	6	6	37	25	0.675675675676	12	0	73	0	0.0	47	0	275	2	0.00727272727273	65	6	385	27	0.0701298701299
GSVIVG01000137001	6	0	24	1	0.0416666666667	11	0	51	0	0.0	52	0	236	1	0.00423728813559	69	0	311	2	0.0064308681672
GSVIVG01000140001	3	1	14	4	0.285714285714	10	0	64	0	0.0	41	0	225	0	0.0	54	1	303	4	0.013201320132
GSVIVG01000141001	10	0	48	1	0.0208333333333	9	0	44	0	0.0	53	0	309	0	0.0	72	0	401	1	0.00249376558603
GSVIVG01000142001	2	0	15	0	0.0	10	0	46	0	0.0	30	0	59	0	0.0	42	0	120	0	0.0
GSVIVG01000143001	10	0	87	2	0.0229885057471	9	0	88	1	0.0113636363636	41	0	292	1	0.00342465753425	60	0	467	4	0.00856531049251
GSVIVG01000144001	10	0	32	0	0.0	10	0	34	0	0.0	55	0	200	1	0.005	75	0	266	1	0.00375939849624
GSVIVG01000145001	6	0	52	0	0.0	16	0	124	1	0.00806451612903	45	0	296	1	0.00337837837838	67	0	472	2	0.00423728813559
GSVIVG01000146001	6	0	32	0	0.0	18	0	100	0	0.0	39	0	199	1	0.00502512562814	63	0	331	1	0.00302114803625
GSVIVG01000148001	12	0	85	2	0.0235294117647	17	0	135	0	0.0	43	0	283	1	0.00353356890459	72	0	503	3	0.00596421471173
GSVIVG01000149001	24	0	85	0	0.0	6	0	23	0	0.0	55	0	179	1	0.00558659217877	85	0	287	1	0.00348432055749
GSVIVG01000150001	11	0	31	0	0.0	19	0	121	0	0.0	71	0	401	1	0.00249376558603	101	0	553	1	0.00180831826401
GSVIVG01000152001	16	0	70	0	0.0	15	0	73	0	0.0	36	0	199	0	0.0	67	0	342	0	0.0
GSVIVG01000153001	4	0	22	0	0.0	14	0	70	0	0.0	49	0	273	1	0.003663003663	67	0	365	1	0.0027397260274
GSVIVG01000154001	2	0	15	0	0.0	23	0	192	0	0.0	37	0	291	1	0.00343642611684	62	0	498	1	0.00200803212851
GSVIVG01000155001	0	0	0	0	nan	14	0	98	0	0.0	47	0	321	3	0.00934579439252	61	0	419	3	0.00715990453461
GSVIVG01000156001	0	0	0	0	nan	0	0	0	0	nan	1	0	5	0	0.0	1	0	5	0	0.0
GSVIVG01000157001	0	0	0	0	nan	14	0	79	0	0.0	39	0	224	0	0.0	53	0	303	0	0.0
GSVIVG01000158001	0	0	0	0	nan	0	0	0	0	nan	1	0	3	0	0.0	1	0	3	0	0.0
GSVIVG01000159001	6	0	20	0	0.0	9	0	26	0	0.0	40	0	135	0	0.0	55	0	181	0	0.0
GSVIVG01000162001	8	0	27	0	0.0	6	0	26	0	0.0	37	0	172	0	0.0	51	0	225	0	0.0
GSVIVG01000163001	20	0	46	0	0.0	11	0	30	0	0.0	42	0	93	0	0.0	73	0	169	0	0.0
GSVIVG01000164001	10	0	48	1	0.0208333333333	10	0	52	0	0.0	38	0	201	0	0.0	58	0	301	1	0.00332225913621
GSVIVG01000167001	4	0	20	0	0.0	12	0	69	1	0.0144927536232	43	0	175	3	0.0171428571429	59	0	264	4	0.0151515151515
GSVIVG01000168001	10	0	56	0	0.0	27	0	153	1	0.00653594771242	52	0	308	0	0.0	89	0	517	1	0.00193423597679
GSVIVG01000169001	2	2	17	17	1.0	18	0	131	0	0.0	51	0	307	1	0.00325732899023	71	2	455	18	0.0395604395604
GSVIVG01000170001	6	6	38	28	0.736842105263	12	0	52	1	0.0192307692308	48	0	248	1	0.00403225806452	66	6	338	30	0.0887573964497
GSVIVG01000171001	4	4	15	13	0.866666666667	27	0	95	0	0.0	46	0	169	0	0.0	77	4	279	13	0.0465949820789
GSVIVG01000173001	4	0	27	0	0.0	15	0	102	0	0.0	41	0	315	0	0.0	60	0	444	0	0.0
GSVIVG01000174001	10	0	54	0	0.0	10	0	55	0	0.0	34	0	156	0	0.0	54	0	265	0	0.0
GSVIVG01000175001	0	0	0	0	nan	0	0	0	0	nan	1	0	6	0	0.0	1	0	6	0	0.0
GSVIVG01000176001	12	0	53	0	0.0	19	0	83	0	0.0	56	0	206	1	0.00485436893204	87	0	342	1	0.00292397660819
GSVIVG01000177001	16	0	61	0	0.0	13	0	64	0	0.0	43	0	191	0	0.0	72	0	316	0	0.0
GSVIVG01000178001	0	0	0	0	nan	0	0	0	0	nan	1	0	2	0	0.0	1	0	2	0	0.0
GSVIVG01000179001	4	4	26	23	0.884615384615	13	0	83	1	0.0120481927711	44	0	304	1	0.00328947368421	61	4	413	25	0.0605326876513
GSVIVG01000181001	8	0	55	0	0.0	12	0	85	0	0.0	45	0	230	1	0.00434782608696	65	0	370	1	0.0027027027027
GSVIVG01000182001	0	0	0	0	nan	0	0	0	0	nan	1	0	1	0	0.0	1	0	1	0	0.0
GSVIVG01000186001	5	0	22	0	0.0	6	0	26	0	0.0	42	0	122	0	0.0	53	0	170	0	0.0
GSVIVG01000189001	2	0	3	0	0.0	4	0	20	0	0.0	15	0	53	0	0.0	21	0	76	0	0.0
