Gene	CG_sites	mCG_sites	CG_reads	mCG_reads	CG_methylation_level	CHG_sites	mCHG_sites	CHG_reads	mCHG_reads	CHG_methylation_level	CHH_sites	mCHH_sites	CHH_reads	mCHH_reads	CHH_methylation_level	C_sites	mC_sites	C_reads	mC_reads	C_methylation_level
GSVIVG01000309001	27	18	134	128	0.955223880597	21	13	103	78	0.757281553398	69	2	377	9	0.0238726790451	117	33	614	215	0.35016286645
GSVIVG01000310001	3	3	24	20	0.833333333333	6	3	20	13	0.65	87	0	350	6	0.0171428571429	96	6	394	39	0.0989847715736
GSVIVG01000312001	12	11	38	37	0.973684210526	11	6	29	20	0.689655172414	46	1	149	4	0.0268456375839	69	18	216	61	0.282407407407
GSVIVG01000313001	26	16	93	89	0.956989247312	10	9	37	29	0.783783783784	88	0	360	7	0.0194444444444	124	25	490	125	0.255102040816
GSVIVG01000315001	20	15	95	90	0.947368421053	42	27	147	116	0.789115646259	209	4	847	25	0.0295159386068	271	46	1089	231	0.212121212121
GSVIVG01000316001	12	5	133	26	0.195488721805	22	0	293	1	0.00341296928328	81	1	987	5	0.00506585612969	115	6	1413	32	0.0226468506723
GSVIVG01000318001	5	1	9	7	0.777777777778	21	2	76	10	0.131578947368	86	0	234	1	0.0042735042735	112	3	319	18	0.0564263322884
GSVIVG01000319001	17	12	76	72	0.947368421053	9	5	28	24	0.857142857143	73	1	282	10	0.0354609929078	99	18	386	106	0.274611398964
GSVIVG01000320001	11	3	30	25	0.833333333333	77	0	258	3	0.0116279069767	269	0	839	4	0.00476758045292	357	3	1127	32	0.0283939662822
GSVIVG01000324001	3	1	25	4	0.16	27	1	125	6	0.048	116	0	617	2	0.0032414910859	146	2	767	12	0.0156453715776
GSVIVG01000325001	8	2	28	13	0.464285714286	47	5	186	53	0.284946236559	136	1	462	3	0.00649350649351	191	8	676	69	0.102071005917
GSVIVG01000327001	0	0	0	0	nan	2	0	9	0	0.0	6	0	32	0	0.0	8	0	41	0	0.0
GSVIVG01000328001	3	1	5	3	0.6	25	0	72	0	0.0	67	0	304	2	0.00657894736842	95	1	381	5	0.0131233595801
GSVIVG01000330001	8	5	25	17	0.68	11	4	34	17	0.5	58	1	268	14	0.0522388059701	77	10	327	48	0.146788990826
